axis,axis_value,metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,split_null_failures,split_null_failure_rate,standardized_separation,n_splits
latent_dim,8,path_length_similarity,higher,circular_shift,0.9478314426836963,0.8716509243495209,0.9978857559684718,0.9427025777377193,0.8608966969241612,0.9968135295460115,0.63,37,0.37,0.13096027501552532,100
latent_dim,8,path_length_similarity,higher,condition_shuffle,0.9478314426836963,0.8716509243495209,0.9978857559684718,0.8906654840391869,0.7681422616727157,0.9923503871564929,0.78,22,0.22,1.1357363853072928,100
latent_dim,8,path_length_similarity,higher,independent_neuron_shift,0.9478314426836963,0.8716509243495209,0.9978857559684718,0.5783655435437415,0.512432342866757,0.6572629490498957,1.0,0,0.0,9.521593212242212,100
latent_dim,8,path_length_similarity,higher,time_reversal,0.9478314426836963,0.8716509243495209,0.9978857559684718,0.9480618908073167,0.871424447541055,0.9975303444074484,0.43,57,0.57,-0.006078137958286698,100
latent_dim,8,position_correlation,higher,block_shuffle_16,0.8503062325929168,0.818293652600869,0.8804644163404504,0.2790785111406786,0.1841101860774796,0.38982799188385814,1.0,0,0.0,13.447815025500343,100
latent_dim,8,position_correlation,higher,circular_shift,0.8503062325929168,0.818293652600869,0.8804644163404504,0.174007695332949,0.08424573409952031,0.26764597778167143,1.0,0,0.0,19.396879485699362,100
latent_dim,8,position_correlation,higher,condition_shuffle,0.8503062325929168,0.818293652600869,0.8804644163404504,-0.040456197919952946,-0.14283908252511185,0.0709293216791239,1.0,0,0.0,22.57829426442384,100
latent_dim,8,position_correlation,higher,independent_neuron_shift,0.8503062325929168,0.818293652600869,0.8804644163404504,0.40498039327340396,0.35514666304301945,0.45568078647007904,1.0,0,0.0,19.84484800441055,100
latent_dim,8,position_correlation,higher,time_reversal,0.8503062325929168,0.818293652600869,0.8804644163404504,0.2682851128322408,0.25381626475739094,0.28239405393544725,1.0,0,0.0,46.98525390101318,100
latent_dim,8,position_cosine,higher,block_shuffle_16,0.8456834577704264,0.8194383921337566,0.866321101592643,0.3344969026246408,0.2402434813515075,0.4326359288764296,1.0,0,0.0,13.43009582019813,100
latent_dim,8,position_cosine,higher,circular_shift,0.8456834577704264,0.8194383921337566,0.866321101592643,0.23443611457762129,0.14513014957176334,0.32473259949269717,1.0,0,0.0,16.986870844744196,100
latent_dim,8,position_cosine,higher,condition_shuffle,0.8456834577704264,0.8194383921337566,0.866321101592643,-0.04550296794418426,-0.1296195838834815,0.05658153686683084,1.0,0,0.0,26.226163724457308,100
latent_dim,8,position_cosine,higher,independent_neuron_shift,0.8456834577704264,0.8194383921337566,0.866321101592643,0.4298493087476947,0.38371969517162524,0.4782359623911602,1.0,0,0.0,20.928609698611623,100
latent_dim,8,position_cosine,higher,time_reversal,0.8456834577704264,0.8194383921337566,0.866321101592643,0.31607694266899566,0.30167031517024195,0.3299693127888557,1.0,0,0.0,48.76565708836768,100
latent_dim,8,speed_profile_correlation,higher,block_shuffle_16,0.746422412786535,0.6739501121133327,0.8095947842702261,0.2234487600545182,0.08264941675779022,0.3514012608004279,1.0,0,0.0,9.066540298462137,100
latent_dim,8,speed_profile_correlation,higher,circular_shift,0.746422412786535,0.6739501121133327,0.8095947842702261,0.1701014840061632,0.05261444149814176,0.3150833124951487,1.0,0,0.0,10.107778821314723,100
latent_dim,8,speed_profile_correlation,higher,condition_shuffle,0.746422412786535,0.6739501121133327,0.8095947842702261,-0.08227708430767501,-0.2764771948799804,0.14353379267694805,1.0,0,0.0,9.759500259143639,100
latent_dim,8,speed_profile_correlation,higher,independent_neuron_shift,0.746422412786535,0.6739501121133327,0.8095947842702261,0.26733836267908373,0.13222291201725667,0.38572770433882253,1.0,0,0.0,8.414915649642271,100
latent_dim,8,speed_profile_correlation,higher,time_reversal,0.746422412786535,0.6739501121133327,0.8095947842702261,0.12036820664941075,0.07608759889160115,0.16131294735818702,1.0,0,0.0,20.665039160645687,100
latent_dim,8,velocity_direction_cosine,higher,block_shuffle_16,0.6373920345387962,0.6063194953133393,0.659800830159616,2.225069986825613e-05,-0.08700419665460617,0.08463011445564536,1.0,0,0.0,19.37221065632183,100
latent_dim,8,velocity_direction_cosine,higher,circular_shift,0.6373920345387962,0.6063194953133393,0.659800830159616,-0.00282499097480073,-0.07953959661630211,0.07317606556611145,1.0,0,0.0,20.816053446388807,100
latent_dim,8,velocity_direction_cosine,higher,condition_shuffle,0.6373920345387962,0.6063194953133393,0.659800830159616,0.024087255770906747,-0.027093643526317056,0.07440471048756199,1.0,0,0.0,27.238399115948933,100
latent_dim,8,velocity_direction_cosine,higher,independent_neuron_shift,0.6373920345387962,0.6063194953133393,0.659800830159616,0.005993387821042687,-0.050400094440533845,0.07526106300932674,1.0,0,0.0,24.999305376896544,100
latent_dim,8,velocity_direction_cosine,higher,time_reversal,0.6373920345387962,0.6063194953133393,0.659800830159616,0.07970296059343233,0.06119317521966906,0.0999581259962511,1.0,0,0.0,44.87393996289955,100
latent_dim,8,zero_lag_correlation,higher,block_shuffle_16,0.8630602220581018,0.8332886865263214,0.8904650148605772,0.34212005663965006,0.2550027615224072,0.4417746025023482,1.0,0,0.0,13.45655886770277,100
latent_dim,8,zero_lag_correlation,higher,circular_shift,0.8630602220581018,0.8332886865263214,0.8904650148605772,0.2425578764116483,0.16233799517479766,0.3298419759350594,1.0,0,0.0,19.47104457204933,100
latent_dim,8,zero_lag_correlation,higher,condition_shuffle,0.8630602220581018,0.8332886865263214,0.8904650148605772,0.045456221991447936,-0.04822025823894439,0.14665580616086277,1.0,0,0.0,22.632585726833426,100
latent_dim,8,zero_lag_correlation,higher,independent_neuron_shift,0.8630602220581018,0.8332886865263214,0.8904650148605772,0.4728785984550731,0.42919557127636887,0.5196137066551706,1.0,0,0.0,19.22594007073935,100
latent_dim,8,zero_lag_correlation,higher,time_reversal,0.8630602220581018,0.8332886865263214,0.8904650148605772,0.32882075712832726,0.3155936035338087,0.34234565094767216,1.0,0,0.0,46.8696954445838,100
