split,metric,value
23,speed_profile_correlation,0.7232317114293548
23,path_length_similarity,0.9448585760311394
23,acceleration_direction_cosine,0.6484251490071234
23,zero_lag_correlation,0.8319745899393034
23,best_lag_correlation,0.8323743894398565
24,position_correlation,0.8655906055661098
24,position_cosine,0.8660782283679861
24,normalized_position_rmse,0.5022507550140772
24,velocity_direction_cosine,0.6791005995475031
24,speed_profile_correlation,0.7401519873622283
24,path_length_similarity,0.9726878177384407
24,acceleration_direction_cosine,0.6303978019496974
24,zero_lag_correlation,0.8681905130724602
24,best_lag_correlation,0.8681905130724602
25,position_correlation,0.8677370734317202
25,position_cosine,0.865435516247123
25,normalized_position_rmse,0.5076780368971271
25,velocity_direction_cosine,0.6594550943806213
25,speed_profile_correlation,0.7538060094963406
25,path_length_similarity,0.9207831874344815
25,acceleration_direction_cosine,0.599943120173042
25,zero_lag_correlation,0.8705113989447602
25,best_lag_correlation,0.8705113989447602
26,position_correlation,0.8516035190653657
26,position_cosine,0.8458448708385256
26,normalized_position_rmse,0.544362356584303
26,velocity_direction_cosine,0.6351419469631298
26,speed_profile_correlation,0.6904788846997993
26,path_length_similarity,0.9736422339908974
26,acceleration_direction_cosine,0.5791310614391167
26,zero_lag_correlation,0.8539904942146073
26,best_lag_correlation,0.8539904942146073
27,position_correlation,0.8699603952341273
27,position_cosine,0.8434065311873905
27,normalized_position_rmse,0.5037548564887091
27,velocity_direction_cosine,0.6751391152557312
27,speed_profile_correlation,0.7389177792175229
27,path_length_similarity,0.9924732424907532
27,acceleration_direction_cosine,0.6193904138769616
27,zero_lag_correlation,0.8721081781664967
27,best_lag_correlation,0.8721081781664967
28,position_correlation,0.8471045542433906
28,position_cosine,0.837499598114108
28,normalized_position_rmse,0.582619989718959
28,velocity_direction_cosine,0.6351152539139642
28,speed_profile_correlation,0.7604148076897275
28,path_length_similarity,0.970118794281906
28,acceleration_direction_cosine,0.5962585253810027
28,zero_lag_correlation,0.8498579145376988
28,best_lag_correlation,0.8514866622793217
29,position_correlation,0.8555325760889455
29,position_cosine,0.8400828677746643
29,normalized_position_rmse,0.5378212471648484
29,velocity_direction_cosine,0.6819672377036547
29,speed_profile_correlation,0.7519914965996234
29,path_length_similarity,0.8449520001882417
29,acceleration_direction_cosine,0.6410197256306363
29,zero_lag_correlation,0.8578707203707485
29,best_lag_correlation,0.8578707203707485
30,position_correlation,0.8517108458980311
30,position_cosine,0.8319561112351546
30,normalized_position_rmse,0.5438282001931359
30,velocity_direction_cosine,0.6653378335853879
30,speed_profile_correlation,0.7122416359983211
30,path_length_similarity,0.9285468629432333
30,acceleration_direction_cosine,0.5958129527022343
30,zero_lag_correlation,0.8545098259940085
30,best_lag_correlation,0.8545098259940085
31,position_correlation,0.8724272419615959
31,position_cosine,0.8798931546586954
31,normalized_position_rmse,0.5086295492680971
31,velocity_direction_cosine,0.6743720209314285
31,speed_profile_correlation,0.749493331024885
31,path_length_similarity,0.9880952604316472
31,acceleration_direction_cosine,0.622990859226774
31,zero_lag_correlation,0.8746243301804701
31,best_lag_correlation,0.8746243301804701
32,position_correlation,0.8658200734204163
32,position_cosine,0.8554778053101739
32,normalized_position_rmse,0.5275001384905236
32,velocity_direction_cosine,0.6621296138203043
32,speed_profile_correlation,0.798829337990906
32,path_length_similarity,0.9310871792866123
32,acceleration_direction_cosine,0.6129820224734193
32,zero_lag_correlation,0.8680511195530747
32,best_lag_correlation,0.8680511195530747
33,position_correlation,0.8334617459739297
33,position_cosine,0.8261805578522216
33,normalized_position_rmse,0.5618632710592227
33,velocity_direction_cosine,0.6581364994234385
33,speed_profile_correlation,0.7396303890659575
33,path_length_similarity,0.9042661328694584
33,acceleration_direction_cosine,0.6232274018793901
33,zero_lag_correlation,0.8375633026839195
33,best_lag_correlation,0.8375633026839195
34,position_correlation,0.8196012578882945
34,position_cosine,0.8278976017865544
34,normalized_position_rmse,0.5924878307975249
34,velocity_direction_cosine,0.6712841218202815
34,speed_profile_correlation,0.7248996028247403
34,path_length_similarity,0.9495883802283666
34,acceleration_direction_cosine,0.613849098473912
34,zero_lag_correlation,0.8226291145850979
34,best_lag_correlation,0.8226291145850979
35,position_correlation,0.842450629055792
35,position_cosine,0.8425327834810317
35,normalized_position_rmse,0.5890512243971177
35,velocity_direction_cosine,0.6616266230936195
