axis,axis_value,metric,observed_mean,observed_ci_low,observed_ci_high,neurons,latent_dim,selected_train_fraction,selected_train_trials,seed,observation_step,splits
random_seed,42.0,speed_profile_correlation,0.7704573814250903,0.6914574942845673,0.8339180161452443,512,4,1.0,174,42,4,100
random_seed,42.0,acceleration_direction_cosine,0.5576051617500852,0.5269606939099655,0.5906875643965291,512,4,1.0,174,42,4,100
random_seed,314.0,position_correlation,0.8543127097368913,0.8133273702068098,0.8847633456340662,512,4,1.0,174,314,4,100
random_seed,314.0,normalized_position_rmse,0.5480254486853217,0.48150002260570535,0.6334873895588784,512,4,1.0,174,314,4,100
random_seed,314.0,velocity_direction_cosine,0.6341189713888298,0.6005535292504928,0.6657091343393711,512,4,1.0,174,314,4,100
random_seed,314.0,speed_profile_correlation,0.775553552609939,0.6961621007449725,0.8239083515533538,512,4,1.0,174,314,4,100
random_seed,314.0,acceleration_direction_cosine,0.5540329762880052,0.5157566237167854,0.5864187681870535,512,4,1.0,174,314,4,100
random_seed,2718.0,position_correlation,0.8531939912786344,0.8152356861980489,0.8899173321284296,512,4,1.0,174,2718,4,100
random_seed,2718.0,normalized_position_rmse,0.5539542533060826,0.47336196184146867,0.6622193420340347,512,4,1.0,174,2718,4,100
random_seed,2718.0,velocity_direction_cosine,0.6362263870771058,0.6010704840139189,0.6695003277881763,512,4,1.0,174,2718,4,100
random_seed,2718.0,speed_profile_correlation,0.7727295842663817,0.7028101861201316,0.8373511369258735,512,4,1.0,174,2718,4,100
random_seed,2718.0,acceleration_direction_cosine,0.5557959050137355,0.5090447468998527,0.5955066261937084,512,4,1.0,174,2718,4,100
observation_step,4.0,position_correlation,0.8553609474849243,0.8166815615406966,0.8840444589804302,512,4,1.0,174,42,4,100
observation_step,4.0,normalized_position_rmse,0.5497856811303797,0.47866109742534174,0.6357505913132633,512,4,1.0,174,42,4,100
observation_step,4.0,velocity_direction_cosine,0.6342524574095372,0.591103252896429,0.6679210891514382,512,4,1.0,174,42,4,100
observation_step,4.0,speed_profile_correlation,0.7704573814250903,0.6914574942845673,0.8339180161452443,512,4,1.0,174,42,4,100
observation_step,4.0,acceleration_direction_cosine,0.5576051617500852,0.5269606939099655,0.5906875643965291,512,4,1.0,174,42,4,100
observation_step,1.0,position_correlation,0.8448730034079821,0.8068800621817755,0.8726036861462501,512,4,1.0,174,42,1,100
observation_step,1.0,normalized_position_rmse,0.567029790865423,0.49719353376115627,0.6487597248264112,512,4,1.0,174,42,1,100
observation_step,1.0,velocity_direction_cosine,0.536461023083491,0.501094729226648,0.5696906199746248,512,4,1.0,174,42,1,100
observation_step,1.0,speed_profile_correlation,0.7508289864328497,0.6869537843940324,0.8060666704311233,512,4,1.0,174,42,1,100
observation_step,1.0,acceleration_direction_cosine,0.44598743808484764,0.410392551433629,0.4848668526261976,512,4,1.0,174,42,1,100
