split,metric,value
23,speed_profile_correlation,0.7573773175550497
23,path_length_similarity,0.9609420751637785
23,acceleration_direction_cosine,0.6187015607390812
23,zero_lag_correlation,0.8822089953950049
23,best_lag_correlation,0.8822089953950049
24,position_correlation,0.8794526878806859
24,position_cosine,0.8670607790365514
24,normalized_position_rmse,0.48010131759385416
24,velocity_direction_cosine,0.6660113990101509
24,speed_profile_correlation,0.7657894810702037
24,path_length_similarity,0.9973630037642062
24,acceleration_direction_cosine,0.6338004206078282
24,zero_lag_correlation,0.881891349241957
24,best_lag_correlation,0.881891349241957
25,position_correlation,0.8509341715990166
25,position_cosine,0.8487300642959223
25,normalized_position_rmse,0.5825331287393152
25,velocity_direction_cosine,0.6500498700507383
25,speed_profile_correlation,0.6939142255301396
25,path_length_similarity,0.9524273550557386
25,acceleration_direction_cosine,0.6150904859486238
25,zero_lag_correlation,0.8539671342124276
25,best_lag_correlation,0.8539671342124276
26,position_correlation,0.8311293399695957
26,position_cosine,0.8213344670422572
26,normalized_position_rmse,0.6322647235593454
26,velocity_direction_cosine,0.6509224766547489
26,speed_profile_correlation,0.7013159679927016
26,path_length_similarity,0.9860052958770745
26,acceleration_direction_cosine,0.6034964776366266
26,zero_lag_correlation,0.8355571381386946
26,best_lag_correlation,0.8355571381386946
27,position_correlation,0.8323386572619583
27,position_cosine,0.824760700929039
27,normalized_position_rmse,0.576462432304265
27,velocity_direction_cosine,0.6420958504818831
27,speed_profile_correlation,0.7368368369139243
27,path_length_similarity,0.983119272624997
27,acceleration_direction_cosine,0.591265335947872
27,zero_lag_correlation,0.8352489235058138
27,best_lag_correlation,0.8352489235058138
28,position_correlation,0.8885219980604101
28,position_cosine,0.8645039991497487
28,normalized_position_rmse,0.491885950607579
28,velocity_direction_cosine,0.6742551111256624
28,speed_profile_correlation,0.7519267164430409
28,path_length_similarity,0.9552627367976226
28,acceleration_direction_cosine,0.6071387255822167
28,zero_lag_correlation,0.8904637965962465
28,best_lag_correlation,0.8904637965962465
29,position_correlation,0.8549257086361784
29,position_cosine,0.8336407669237899
29,normalized_position_rmse,0.5705550281890592
29,velocity_direction_cosine,0.6599973809242153
29,speed_profile_correlation,0.7546407692842904
29,path_length_similarity,0.9028563362126542
29,acceleration_direction_cosine,0.6235447187642346
29,zero_lag_correlation,0.8579222586746718
29,best_lag_correlation,0.8579222586746718
30,position_correlation,0.8408126360360574
30,position_cosine,0.8352687685218181
30,normalized_position_rmse,0.5491499437357897
30,velocity_direction_cosine,0.6645293034729365
