metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,paired_p_value,standardized_separation,n_splits
best_lag_correlation,higher,block_shuffle_32,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.2961586919293295,0.15606465912866366,0.48949837141941954,1.0,0.004975124378109453,8.803074647022342,200
best_lag_correlation,higher,block_shuffle_4,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.3672562505352491,0.29112760195643267,0.4498619924222447,1.0,0.004975124378109453,15.352758090479773,200
best_lag_correlation,higher,block_shuffle_8,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.3275475603930415,0.21736887279432537,0.43146784600751026,1.0,0.004975124378109453,13.283288933787903,200
best_lag_correlation,higher,circular_shift,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.20743840019853377,0.10901046979102434,0.34766737637825007,1.0,0.004975124378109453,13.673512495836196,200
best_lag_correlation,higher,condition_shuffle,0.8594369670812386,0.8216285634757761,0.8904648400852516,-0.02041703138855979,-0.12174386434649928,0.11516550257278074,1.0,0.004975124378109453,19.222884205591754,200
best_lag_correlation,higher,frame_shuffle,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.36030263902252535,0.2871104794946173,0.4384816480034221,1.0,0.004975124378109453,16.96281161563728,200
best_lag_correlation,higher,independent_neuron_shift,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.41950969984907693,0.34937382561410085,0.4820594278124082,1.0,0.004975124378109453,16.08832875449272,200
best_lag_correlation,higher,time_reversal,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.2173456692665514,0.20049762135027405,0.23183543050219318,1.0,0.004975124378109453,46.097518077473985,200
normalized_position_rmse,lower,block_shuffle_16,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.1971124130474136,1.0624057880936353,1.3319595387635734,1.0,0.004975124378109453,11.364581726877494,200
normalized_position_rmse,lower,block_shuffle_32,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.1972008840683461,1.0323825920768663,1.3360403783313155,1.0,0.004975124378109453,9.777955941306324,200
normalized_position_rmse,lower,block_shuffle_4,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.0484015669363254,0.9792433787199987,1.1303709664470352,1.0,0.004975124378109453,12.375506978979702,200
normalized_position_rmse,lower,block_shuffle_8,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.1308363698546922,1.025259439648304,1.2438928471644184,1.0,0.004975124378109453,12.111102298861255,200
normalized_position_rmse,lower,circular_shift,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.311983780392407,1.1780751403016578,1.4465218388003518,1.0,0.004975124378109453,13.479738872996172,200
normalized_position_rmse,lower,condition_shuffle,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.455429363564606,1.325135138267895,1.5943188843752278,1.0,0.004975124378109453,16.42151881643969,200
normalized_position_rmse,lower,frame_shuffle,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.0526934161055461,0.9793277978315436,1.1170556744301068,1.0,0.004975124378109453,12.388730290450484,200
normalized_position_rmse,lower,independent_neuron_shift,0.5427705733321793,0.47893081218343564,0.6526907346656975,0.9603072933217106,0.9088109734003992,1.0127554806418335,1.0,0.004975124378109453,11.682052906522705,200
normalized_position_rmse,lower,time_reversal,0.5427705733321793,0.47893081218343564,0.6526907346656975,1.2723936864099687,1.1949387555881552,1.3666429884551128,1.0,0.004975124378109453,16.570200823277883,200
path_length_similarity,higher,block_shuffle_16,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.8375843648831156,0.7350549560710605,0.9618514487847992,0.91,0.0945273631840796,2.0300771112117424,200
path_length_similarity,higher,block_shuffle_32,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.9045444178088963,0.7875877133659793,0.9955386982411238,0.75,0.2537313432835821,0.8027858568728893,200
path_length_similarity,higher,block_shuffle_4,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.931179089664331,0.8334203088559106,0.9964465324825562,0.585,0.417910447761194,0.31590260627912825,200
path_length_similarity,higher,block_shuffle_8,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.8162360296987444,0.7004813730541801,0.9275222960979939,0.96,0.04477611940298507,2.486567612208221,200
path_length_similarity,higher,circular_shift,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.9396869335927459,0.8446724504508422,0.9964265311320446,0.63,0.373134328358209,0.12747143628330693,200
path_length_similarity,higher,condition_shuffle,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.8797288429562315,0.7592013296580887,0.9917529644429185,0.825,0.1791044776119403,1.2081702125202456,200
path_length_similarity,higher,frame_shuffle,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.9346662760810125,0.8331549575119422,0.9961380715354247,0.56,0.4427860696517413,0.23907633072480075,200
path_length_similarity,higher,independent_neuron_shift,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.5283444564143174,0.47120075869876804,0.5972544777828708,1.0,0.004975124378109453,11.00355257721854,200
path_length_similarity,higher,time_reversal,0.9449108838172044,0.8584232625678644,0.9978087531850751,0.9451623355197691,0.8595530434027373,0.9985419380330766,0.445,0.5572139303482587,-0.0063903598651716435,200
position_correlation,higher,block_shuffle_16,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.24330614041028703,0.1132484728629635,0.37351122681770643,1.0,0.004975124378109453,11.843588353329842,200
position_correlation,higher,block_shuffle_32,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.26580528646973867,0.10744624457493857,0.46068226890232555,1.0,0.004975124378109453,8.95452197073475,200
position_correlation,higher,block_shuffle_4,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.3084750477282244,0.22507440092924344,0.3941666809939901,1.0,0.004975124378109453,16.285388253216574,200
position_correlation,higher,block_shuffle_8,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.2693853058023326,0.1717172754060505,0.3741821407330274,1.0,0.004975124378109453,14.638762781710666,200
position_correlation,higher,circular_shift,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.13845921214314244,0.025073052426097364,0.28256712282695395,1.0,0.004975124378109453,14.592009888724291,200
position_correlation,higher,condition_shuffle,0.8565876633053474,0.8184342999732868,0.8885257049365544,-0.05380121192093045,-0.15292346932410536,0.0728791560916019,1.0,0.004975124378109453,20.572167689430547,200
position_correlation,higher,frame_shuffle,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.30722117047338743,0.22188999472835338,0.38817504487179694,1.0,0.004975124378109453,16.5530461513679,200
position_correlation,higher,independent_neuron_shift,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.3732641810811913,0.30312893502454047,0.43944016934837465,1.0,0.004975124378109453,16.863962298324193,200
position_correlation,higher,time_reversal,0.8565876633053474,0.8184342999732868,0.8885257049365544,0.1949279154157507,0.17724133178622603,0.20861384312351208,1.0,0.004975124378109453,46.519044718551605,200
position_cosine,higher,block_shuffle_16,0.8432196052650172,0.8100612555492979,0.8741449894112298,0.28528508870695773,0.16832508852781738,0.39942921911278734,1.0,0.004975124378109453,11.825000311986804,200
position_cosine,higher,block_shuffle_32,0.8432196052650172,0.8100612555492979,0.8741449894112298,0.2994198791240045,0.15123865866604552,0.47322779629519335,1.0,0.004975124378109453,8.791623495482852,200
position_cosine,higher,block_shuffle_4,0.8432196052650172,0.8100612555492979,0.8741449894112298,0.3431241405884377,0.2649979905620426,0.42267617112989647,1.0,0.004975124378109453,16.10692457491618,200
position_cosine,higher,block_shuffle_8,0.8432196052650172,0.8100612555492979,0.8741449894112298,0.30959632890684835,0.22475274584689772,0.3974731628869991,1.0,0.004975124378109453,15.219528959400066,200
