model,metric,direction,null,observed,null_mean,null_ci_low,null_ci_high,null_exceedances,null_exceedance_rate
dynamic,speed_profile_correlation,higher,block_shuffle,0.5375384808931616,0.20629394699810263,0.06800145769058578,0.3532077387705709,0,0.0
dynamic,speed_profile_correlation,higher,circular_shift,0.5375384808931616,0.13134593313285792,-0.004737542180920155,0.2490582002990808,0,0.0
dynamic,speed_profile_correlation,higher,condition_shuffle,0.5375384808931616,-0.04120668667571298,-0.19695135196857722,0.1747426581385652,0,0.0
dynamic,speed_profile_correlation,higher,independent_neuron_shift,0.5375384808931616,0.20440247336669196,0.09485894145341765,0.33666546237900347,0,0.0
dynamic,speed_profile_correlation,higher,time_reversal,0.5375384808931616,0.118702599131272,0.118702599131272,0.118702599131272,0,0.0
dynamic,velocity_direction_cosine,higher,block_shuffle,0.49846192053802835,-0.0018575596707789948,-0.08941799796594455,0.07189889093007996,0,0.0
dynamic,velocity_direction_cosine,higher,circular_shift,0.49846192053802835,-0.004358758425653303,-0.0707481014175439,0.07540373148665276,0,0.0
dynamic,velocity_direction_cosine,higher,condition_shuffle,0.49846192053802835,-0.018362311069209457,-0.07700083265865942,0.05198193060822537,0,0.0
dynamic,velocity_direction_cosine,higher,independent_neuron_shift,0.49846192053802835,-0.0008245902502791059,-0.07132379793423184,0.08849798259513987,0,0.0
dynamic,velocity_direction_cosine,higher,time_reversal,0.49846192053802835,0.10546071678249509,0.10546071678249509,0.10546071678249509,0,0.0
dynamic,zero_lag_correlation,higher,block_shuffle,0.7341794030183546,0.2732666250750276,0.1847705426461234,0.36479147493081787,0,0.0
dynamic,zero_lag_correlation,higher,circular_shift,0.7341794030183546,0.17384585868736516,0.08870760797119809,0.2622083164991422,0,0.0
dynamic,zero_lag_correlation,higher,condition_shuffle,0.7341794030183546,0.025077316980956717,-0.06634873125543812,0.11581144317379921,0,0.0
dynamic,zero_lag_correlation,higher,independent_neuron_shift,0.7341794030183546,0.3898088977151602,0.35699339855262957,0.42514670439656577,0,0.0
dynamic,zero_lag_correlation,higher,time_reversal,0.7341794030183546,0.26608419929916677,0.2660841992991668,0.2660841992991668,0,0.0
static,acceleration_direction_cosine,higher,block_shuffle,0.18501191021819963,-0.0037512282308616385,-0.0884889589907204,0.07251009405687035,0,0.0
static,acceleration_direction_cosine,higher,circular_shift,0.18501191021819963,-0.005268306754319541,-0.07235147378801861,0.0600553094135629,0,0.0
static,acceleration_direction_cosine,higher,condition_shuffle,0.18501191021819963,-0.01081417953481858,-0.07568985579139104,0.04520946765538153,0,0.0
static,acceleration_direction_cosine,higher,independent_neuron_shift,0.18501191021819963,-0.016792412466617508,-0.10128291042559814,0.07320895747259187,0,0.0
static,acceleration_direction_cosine,higher,time_reversal,0.18501191021819963,0.043448809828670124,0.043448809828670124,0.043448809828670124,0,0.0
static,best_lag_correlation,higher,block_shuffle,0.5496406684538244,0.20165965987898232,0.1302879637460419,0.2797869453413323,0,0.0
static,best_lag_correlation,higher,circular_shift,0.5496406684538244,0.12851686020102573,0.0521985925536095,0.2344347316194922,0,0.0
