model,null,permutation,metric,value
static,condition_shuffle,20,acceleration_direction_cosine,-0.00946827331383621
static,condition_shuffle,20,zero_lag_correlation,0.1212636472007492
static,condition_shuffle,20,best_lag_correlation,0.14225716695806057
static,condition_shuffle,21,position_correlation,-0.0007422732062051015
static,condition_shuffle,21,position_cosine,0.022032429296228548
static,condition_shuffle,21,normalized_position_rmse,1.1962356513452717
static,condition_shuffle,21,velocity_direction_cosine,0.003919229200035896
static,condition_shuffle,21,speed_profile_correlation,-0.1561016626377714
static,condition_shuffle,21,path_length_similarity,0.610805887508912
static,condition_shuffle,21,acceleration_direction_cosine,-0.035109538921657225
static,condition_shuffle,21,zero_lag_correlation,0.09999969951003371
static,condition_shuffle,21,best_lag_correlation,0.1254798643534304
static,condition_shuffle,22,position_correlation,-0.024723213599326832
static,condition_shuffle,22,position_cosine,-0.021827228928279076
static,condition_shuffle,22,normalized_position_rmse,1.2091192719570918
static,condition_shuffle,22,velocity_direction_cosine,-0.007421476322173684
static,condition_shuffle,22,speed_profile_correlation,-0.04679775415349727
static,condition_shuffle,22,path_length_similarity,0.5939137889753483
static,condition_shuffle,22,acceleration_direction_cosine,0.016841903989730345
static,condition_shuffle,22,zero_lag_correlation,0.07938956855268403
static,condition_shuffle,22,best_lag_correlation,0.10765842614171055
static,condition_shuffle,23,position_correlation,0.05409863698994515
static,condition_shuffle,23,position_cosine,0.07877223070967353
static,condition_shuffle,23,normalized_position_rmse,1.1662379081128627
static,condition_shuffle,23,velocity_direction_cosine,0.031036283570021306
static,condition_shuffle,23,speed_profile_correlation,-0.15833144830812168
static,condition_shuffle,23,path_length_similarity,0.6463511207854284
static,condition_shuffle,23,acceleration_direction_cosine,-0.011742168999983468
static,condition_shuffle,23,zero_lag_correlation,0.14713206056152522
static,condition_shuffle,23,best_lag_correlation,0.14953926683093005
static,condition_shuffle,24,position_correlation,-0.08609721712502431
static,condition_shuffle,24,position_cosine,-0.11114954572826866
static,condition_shuffle,24,normalized_position_rmse,1.2414832916187044
static,condition_shuffle,24,velocity_direction_cosine,-0.03536573929202265
static,condition_shuffle,24,speed_profile_correlation,-0.17755751205920248
static,condition_shuffle,24,path_length_similarity,0.6407240818502086
static,condition_shuffle,24,acceleration_direction_cosine,-0.04575404038894109
static,condition_shuffle,24,zero_lag_correlation,0.026642418970331705
static,condition_shuffle,24,best_lag_correlation,0.0438910204557682
static,condition_shuffle,25,position_correlation,-0.04387838250739809
static,condition_shuffle,25,position_cosine,-0.06481246194673186
static,condition_shuffle,25,normalized_position_rmse,1.2193124818903047
static,condition_shuffle,25,velocity_direction_cosine,-0.008329848080967529
static,condition_shuffle,25,speed_profile_correlation,-0.06320275018281482
static,condition_shuffle,25,path_length_similarity,0.5822492991156127
static,condition_shuffle,25,acceleration_direction_cosine,0.00402490906897882
static,condition_shuffle,25,zero_lag_correlation,0.06292688888984908
static,condition_shuffle,25,best_lag_correlation,0.07195085993290574
static,condition_shuffle,26,position_correlation,-0.02452122492006545
static,condition_shuffle,26,position_cosine,-0.009032653137923955
static,condition_shuffle,26,normalized_position_rmse,1.2090113280427914
static,condition_shuffle,26,velocity_direction_cosine,-0.03456302800677817
static,condition_shuffle,26,speed_profile_correlation,0.04775349729237018
static,condition_shuffle,26,path_length_similarity,0.5957868093294553
static,condition_shuffle,26,acceleration_direction_cosine,-0.03246109435186087
static,condition_shuffle,26,zero_lag_correlation,0.07956316529506503
static,condition_shuffle,26,best_lag_correlation,0.08437024406643172
static,condition_shuffle,27,position_correlation,-0.03553851306343458
static,condition_shuffle,27,position_cosine,-0.05034573649138675
static,condition_shuffle,27,normalized_position_rmse,1.2148850251689451
