candidate,family,category,severity,split,response_single,response_average,cka_time,cka_delta,rsa_state,rsa_temporal,gpfa_position,gpfa_velocity,gpfa_speed,gpfa_acceleration,gpfa_rmse_quality
kernel_retention_0.25,kernel_ablation,temporal,0.75,selection,0.10503328965539799,0.16936007130025343,0.14538503108673062,0.03615584297541816,0.10336437843543496,0.34481679426067696,-0.1312312477966391,0.05253514235636713,-0.00623939249223262,0.09782091153318045,-1.0810121628394878
kernel_retention_0.25,kernel_ablation,temporal,0.75,test,0.1071473936181283,0.17050382808439385,0.16643208577033347,0.04216875970797099,0.10279678223638988,0.37126953262443657,-0.1305743227390027,0.07234043044569842,0.06845599917763487,0.07031096094882694,-1.0836160118379032
kernel_retention_0.0,kernel_ablation,temporal,1.0,selection,-0.006335616737395465,-0.010151355975905196,0.15799819855652636,0.012877035597285093,0.12700682845991842,0.24833809264547382,-0.19535017370850483,-0.07553726686484304,-0.07155499568736014,-0.02381267762539229,-1.0721848086953247
kernel_retention_0.0,kernel_ablation,temporal,1.0,test,-0.005288167558894843,-0.005996012009191675,0.1666359609167301,0.012105754570895714,0.11509917613359832,0.2395038463390334,-0.19424256013317753,-0.05019955445821026,0.004159367160814093,-0.029980450835208765,-1.0738575697040922
shift_1,shift,temporal,1.0,selection,0.17831828003356753,0.28370100297191997,0.44615678773059275,0.07209027325526204,0.42299894013316097,0.5174626384737607,0.6927733492701138,0.4231518196452398,0.43316296853062025,0.38175212580205486,-0.7337759901667239
shift_1,shift,temporal,1.0,test,0.18346974835625077,0.2918996223632101,0.45169600872502236,0.0653216566616334,0.4367832674567007,0.5388502094467716,0.7100415387538446,0.443590928635956,0.5085991165740313,0.358651446857059,-0.7249239471352235
shift_2,shift,temporal,2.0,selection,0.1723554633561295,0.2739964557558554,0.43452751562364417,0.07232517851973523,0.40953256793420817,0.5145996436997448,0.6813069373383185,0.3800913435745115,0.3964671389402504,0.33423785443547616,-0.7447604356714436
shift_2,shift,temporal,2.0,test,0.1773708130423825,0.28224473981845233,0.4404681107902451,0.06551570923111401,0.4184814901427503,0.525494801794094,0.697620443732254,0.40744271455259096,0.47102714973495163,0.3166685212301872,-0.7368017108193499
shift_4,shift,temporal,4.0,selection,0.1537728339833512,0.24394223052561426,0.40392275249662024,0.06354180900255892,0.3717555463831221,0.47657596195513285,0.6496609733965897,0.2656638746330471,0.31048126437574614,0.20744379853943928,-0.7741774645047117
shift_4,shift,temporal,4.0,test,0.1584563164774701,0.2520227927329541,0.4098131950494771,0.05740830287543048,0.37838228184528094,0.4674181564980351,0.6601282918414878,0.294952408876655,0.3966510181745367,0.18961652761476874,-0.7714386527547457
