metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,split_null_failures,split_null_failure_rate,standardized_separation,n_splits
normalized_position_rmse,lower,block_shuffle_4,0.542392488703627,0.4708040221111633,0.6453836950295658,1.0405680487700335,0.9657498927333394,1.124180303151846,1.0,0,0.0,11.074966531510189,200
normalized_position_rmse,lower,block_shuffle_8,0.542392488703627,0.4708040221111633,0.6453836950295658,1.1186610985903414,1.0068636963430024,1.2318824873981051,1.0,0,0.0,11.27194816846074,200
normalized_position_rmse,lower,circular_shift,0.542392488703627,0.4708040221111633,0.6453836950295658,1.3004551630719217,1.173395815501603,1.441897043582912,1.0,0,0.0,12.701685111441101,200
normalized_position_rmse,lower,condition_shuffle,0.542392488703627,0.4708040221111633,0.6453836950295658,1.4552335145667703,1.3322489971155542,1.5976798185901833,1.0,0,0.0,15.346420338831095,200
normalized_position_rmse,lower,frame_shuffle,0.542392488703627,0.4708040221111633,0.6453836950295658,1.0435351666387882,0.9707746964899877,1.1258025375816771,1.0,0,0.0,11.357026522090502,200
normalized_position_rmse,lower,independent_neuron_shift,0.542392488703627,0.4708040221111633,0.6453836950295658,0.9598042828017229,0.9001913280325937,1.0198583072518412,1.0,0,0.0,10.848138442581837,200
normalized_position_rmse,lower,time_reversal,0.542392488703627,0.4708040221111633,0.6453836950295658,1.2051703619048484,1.128369464399161,1.3184332130206067,1.0,0,0.0,13.560183861015496,200
path_length_similarity,higher,block_shuffle_16,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.8386633582271179,0.7290717250188513,0.9788661515353175,0.87,26,0.13,1.8773296494403529,200
path_length_similarity,higher,block_shuffle_32,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.9055674524772144,0.7954097528893148,0.9932268955921553,0.765,47,0.235,0.7426600879855519,200
path_length_similarity,higher,block_shuffle_4,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.9279304447673641,0.8294552197113718,0.9970219363259724,0.67,66,0.33,0.33455291154035965,200
path_length_similarity,higher,block_shuffle_8,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.8209152962709169,0.6964652639323237,0.946108425247164,0.89,22,0.11,2.172498376177836,200
path_length_similarity,higher,circular_shift,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.9385956258772324,0.8572309500022022,0.9962169273416438,0.68,64,0.32,0.11316499151496952,200
path_length_similarity,higher,condition_shuffle,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.8469775665808801,0.7090245067227039,0.9831767986415738,0.855,29,0.145,1.646563889498282,200
path_length_similarity,higher,frame_shuffle,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.9316913118634205,0.8119855763308769,0.9969686102661434,0.675,65,0.325,0.2614036860299162,200
path_length_similarity,higher,independent_neuron_shift,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.5736761749893365,0.49466459692270837,0.6489397730658344,1.0,0,0.0,9.104755380950564,200
path_length_similarity,higher,time_reversal,0.9432018864851642,0.8618933575887571,0.9986310623993926,0.9433985842387567,0.8613626517746485,0.9986776182775775,0.5,100,0.5,-0.004869523073186384,200
position_correlation,higher,block_shuffle_16,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.2610419837225914,0.1494925854640149,0.40756712668987066,1.0,0,0.0,11.624241543050404,200
position_correlation,higher,block_shuffle_32,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.2795249826419979,0.12702953468731437,0.48225788677627957,1.0,0,0.0,8.795746493170913,200
position_correlation,higher,block_shuffle_4,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.32494975213125044,0.23033069335190207,0.41074903729006695,1.0,0,0.0,15.356993741185898,200
position_correlation,higher,block_shuffle_8,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.28785846180877567,0.1855547861998283,0.39696222469556086,1.0,0,0.0,14.02473493748488,200
position_correlation,higher,circular_shift,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.15679106784339242,0.06707367673330991,0.26410824390839516,1.0,0,0.0,18.295771981142046,200
position_correlation,higher,condition_shuffle,0.8583353142234356,0.8192623564106567,0.8905890720742562,-0.05230951820392727,-0.1430852759900939,0.05503051979053479,1.0,0,0.0,22.673461941909867,200
position_correlation,higher,frame_shuffle,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.3254415881002386,0.2517019430822404,0.4078863990160529,1.0,0,0.0,16.484487812807885,200
position_correlation,higher,independent_neuron_shift,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.3843958002046351,0.31464693082995426,0.45236215111985445,1.0,0,0.0,16.689063354094266,200
position_correlation,higher,time_reversal,0.8583353142234356,0.8192623564106567,0.8905890720742562,0.27973777292646484,0.25786915013778994,0.2972697142299501,1.0,0,0.0,39.283374643900906,200
position_cosine,higher,block_shuffle_16,0.825307961991317,0.7871423059134163,0.8582040432982092,0.3053394605548915,0.20287677246444985,0.4277781954559281,1.0,0,0.0,11.435008080405044,200
position_cosine,higher,block_shuffle_32,0.825307961991317,0.7871423059134163,0.8582040432982092,0.31491709406641283,0.1813522311541742,0.47717330822577425,1.0,0,0.0,8.795239047960006,200
position_cosine,higher,block_shuffle_4,0.825307961991317,0.7871423059134163,0.8582040432982092,0.3562084691475755,0.2762521307140642,0.43185934365874906,1.0,0,0.0,14.652008422368969,200
position_cosine,higher,block_shuffle_8,0.825307961991317,0.7871423059134163,0.8582040432982092,0.32791490962793196,0.23958211364305446,0.427502624173768,1.0,0,0.0,13.725848836179214,200
position_cosine,higher,circular_shift,0.825307961991317,0.7871423059134163,0.8582040432982092,0.21185014291485119,0.12878922220130712,0.331443935647468,1.0,0,0.0,15.259092822649095,200
position_cosine,higher,condition_shuffle,0.825307961991317,0.7871423059134163,0.8582040432982092,-0.05929336900674321,-0.1590967270862235,0.04679967280386932,1.0,0,0.0,20.856654508098938,200
position_cosine,higher,frame_shuffle,0.825307961991317,0.7871423059134163,0.8582040432982092,0.3568322565438792,0.2934668937693853,0.4338864275790589,1.0,0,0.0,16.05297266031077,200
position_cosine,higher,independent_neuron_shift,0.825307961991317,0.7871423059134163,0.8582040432982092,0.3958844363212132,0.3361685202039793,0.4655255746212651,1.0,0,0.0,15.853680260210414,200
position_cosine,higher,time_reversal,0.825307961991317,0.7871423059134163,0.8582040432982092,0.3236349231109776,0.3020365186479692,0.34410451262616343,1.0,0,0.0,32.112253888125544,200
speed_profile_correlation,higher,block_shuffle_16,0.7776808599817238,0.7117258847062766,0.8353866104436762,0.2462813833412228,0.11668592721407314,0.40209683542337926,1.0,0,0.0,9.310506752684413,200
