bootstrap,metric,raw_dynamic_minus_static,oriented_dynamic_advantage
6,velocity_direction_cosine,0.22874536961383146,0.22874536961383146
6,speed_profile_correlation,-0.036652804175984044,-0.036652804175984044
6,path_length_similarity,0.16809088821870144,0.16809088821870144
6,acceleration_direction_cosine,0.26436111504416415,0.26436111504416415
6,zero_lag_correlation,0.10618938340927542,0.10618938340927542
6,best_lag_correlation,0.0991075603215561,0.0991075603215561
7,position_correlation,0.10103779326687656,0.10103779326687656
7,position_cosine,0.18388575956628095,0.18388575956628095
7,normalized_position_rmse,-0.09696915824927144,0.09696915824927144
7,velocity_direction_cosine,0.17948851849910613,0.17948851849910613
7,speed_profile_correlation,-0.049012959870623374,-0.049012959870623374
7,path_length_similarity,0.220289056554119,0.220289056554119
7,acceleration_direction_cosine,0.26343223637005897,0.26343223637005897
7,zero_lag_correlation,0.0987314880241229,0.0987314880241229
7,best_lag_correlation,0.10247952137609395,0.10247952137609395
8,position_correlation,0.24883064536379917,0.24883064536379917
8,position_cosine,0.37661978624865733,0.37661978624865733
8,normalized_position_rmse,-0.20169601060618914,0.20169601060618914
8,velocity_direction_cosine,0.22263159114115783,0.22263159114115783
8,speed_profile_correlation,0.01694479302285079,0.01694479302285079
8,path_length_similarity,0.12599971065313387,0.12599971065313387
8,acceleration_direction_cosine,0.2811018300440179,0.2811018300440179
8,zero_lag_correlation,0.23193316084220866,0.23193316084220866
8,best_lag_correlation,0.23010207235114027,0.23010207235114027
9,position_correlation,0.17170962567782144,0.17170962567782144
9,position_cosine,0.2692592431280822,0.2692592431280822
9,normalized_position_rmse,-0.1482905812363725,0.1482905812363725
9,velocity_direction_cosine,0.14253667531661118,0.14253667531661118
9,speed_profile_correlation,0.019690973470282147,0.019690973470282147
9,path_length_similarity,0.13810443002249462,0.13810443002249462
9,acceleration_direction_cosine,0.19627618028232335,0.19627618028232335
9,zero_lag_correlation,0.14918943840856858,0.14918943840856858
9,best_lag_correlation,0.15590936154122703,0.15590936154122703
10,position_correlation,0.3771231850092303,0.3771231850092303
10,position_cosine,0.5204214911734664,0.5204214911734664
10,normalized_position_rmse,-0.2566805917888826,0.2566805917888826
10,velocity_direction_cosine,0.22834613282036595,0.22834613282036595
10,speed_profile_correlation,0.06604884151872364,0.06604884151872364
10,path_length_similarity,0.07263915341774618,0.07263915341774618
10,acceleration_direction_cosine,0.2939229969535746,0.2939229969535746
10,zero_lag_correlation,0.33721284254117323,0.33721284254117323
10,best_lag_correlation,0.3358129480353068,0.3358129480353068
11,position_correlation,0.13846283083463695,0.13846283083463695
11,position_cosine,0.1624673229089515,0.1624673229089515
11,normalized_position_rmse,-0.10715028025667428,0.10715028025667428
11,velocity_direction_cosine,0.17624777613560433,0.17624777613560433
11,speed_profile_correlation,-0.013308379910501544,-0.013308379910501544
11,path_length_similarity,0.16007776980407373,0.16007776980407373
11,acceleration_direction_cosine,0.2432990969990045,0.2432990969990045
11,zero_lag_correlation,0.12204262597516446,0.12204262597516446
11,best_lag_correlation,0.12360242250360631,0.12360242250360631
12,position_correlation,0.24931030341659322,0.24931030341659322
12,position_cosine,0.39359697511588404,0.39359697511588404
12,normalized_position_rmse,-0.22499273058624059,0.22499273058624059
12,velocity_direction_cosine,0.1934590924787995,0.1934590924787995
12,speed_profile_correlation,0.004485035575319429,0.004485035575319429
12,path_length_similarity,0.1510410804423572,0.1510410804423572
12,acceleration_direction_cosine,0.27931743612055293,0.27931743612055293
12,zero_lag_correlation,0.2231663299840676,0.2231663299840676
12,best_lag_correlation,0.22287234702000758,0.22287234702000758
13,position_correlation,0.16937584824847196,0.16937584824847196
13,position_cosine,0.27690606350941804,0.27690606350941804
13,normalized_position_rmse,-0.13650430802659397,0.13650430802659397
13,velocity_direction_cosine,0.1737178777026709,0.1737178777026709
13,speed_profile_correlation,0.012598343431996617,0.012598343431996617
13,path_length_similarity,0.14034827813444184,0.14034827813444184
13,acceleration_direction_cosine,0.22660040406796494,0.22660040406796494
13,zero_lag_correlation,0.15593178016267117,0.15593178016267117
13,best_lag_correlation,0.15827567073180215,0.15827567073180215
14,position_correlation,0.347961569877015,0.347961569877015
14,position_cosine,0.44699472708804405,0.44699472708804405
14,normalized_position_rmse,-0.2681156033090011,0.2681156033090011
